# maelstrom - GimmeMotifs version 0.10.0b4
# method: lightning with motif score
# motif table: mm10.most_variable.out/motif.score.txt.gz
# activity values: coefficients from fitted model
	Bcell	CD4	CD8	CMP	Erythroblast	GMP	MEP	MPP	Monocytes	Nkcell
bZIP_Average_117	0.000564050275327	-0.00539075540515	-0.00441517727288	0.00162707715174	-0.00186273775822	-0.00170099732351	-0.00124243054339	-0.000638371903218	0.00694038782308	0.00611895495622
bZIP_M4371_1.01	-0.00759383820814	0.00789188971338	-0.00635443453101	0.00294629821772	0.00479185114817	-0.0106825729744	-0.00396252324488	0.00120798934347	0.00788140783547	0.00387393270018
bZIP_M6050_1.01	-0.00152082472582	0.00755977465799	-0.00385308320469	0.00103568995378	-0.00770764465122	-0.00417234178082	-0.0003637810744	-0.00307162759999	0.00910811735944	0.00298572106573
bZIP_Average_154	0.000146755996957	-0.00151258277523	0.000689048038094	-0.00215951638544	-0.00318426744885	-6.98134863493e-05	0.000481377394148	0.00213375061145	0.00139835929249	0.00207688876273
bZIP_M6149_1.01	0.000422187153726	0.000671548983492	0.0036393791882	-0.00128222796111	-0.0146120065041	0.00609246860061	0.00216855704129	0.00188939909068	-0.00423064775914	0.0052413421663
bZIP_Average_148	-0.00620029429918	0.00488509587648	-0.0251286181696	0.0270977971665	-0.0243638466194	0.000776009670691	0.00102709543759	-7.836084932e-05	0.0318884459024	-0.00990332411607
bZIP_Average_145	0.00164366706217	0.000433068696198	-0.00307191409942	-0.00250765968836	-0.00159169317292	0.00525346437878	0.000319766687784	-0.000876002437101	0.00309799165962	-0.00270068908676
bZIP_M0309_1.01	0.000911081685234	-0.00290526694609	5.53247607028e-06	-2.96571462541e-05	-0.000412733728274	0.00143022122018	-6.84168921222e-05	-0.000327402787798	0.00224000586285	-0.000843363743796
bZIP_Average_153	-0.0715225399266	-0.0722513662738	-0.041395373649	-0.0138226332981	-0.0725594623165	0.213976888265	-0.0390364780275	-0.014823005481	0.159827890405	-0.0483939196973
bZIP_M2910_1.01	-0.01958266033	-0.0209336813242	-0.0110747569177	-0.0192506091806	-0.00594704213555	0.060275276837	-0.00641277563827	-0.0198970095478	0.0522427770988	-0.00941951886166
