# maelstrom - GimmeMotifs version 0.10.0b4
# method: mara with motif count
# motif table: mm10.most_variable.out/motif.count.txt.gz
# activity values: mean coefficient from fitted model
	MPP	CMP	GMP	MEP	Monocytes	Erythroblast	CD4	CD8	Bcell	Nkcell
bHLH_M6165_1.01	0.0243241281145	0.0829317170185	0.0051819045935	-0.00701846722273	-0.0748753105872	-0.0511197500096	-0.0832048869892	-0.0464379411132	0.000310730466647	0.076797711279
bHLH_M6031_1.01	0.00984514504487	0.0474769032361	0.0220218981406	0.00327733909675	-0.0525359553188	0.152113942319	-0.0717831083812	0.000969837905774	0.00972015960238	-0.0350221638468
bHLH_M0187_1.01	-0.22513271796	-0.06386294931	-0.00671484798893	0.019869038954	0.0328233126954	0.0444975003564	0.0615997328692	-0.00736327256938	0.00396943873943	0.0621735482477
bHLH_M2787_1.01	0.0407028033074	-0.0451699684499	-0.013459410746	0.0375121586803	-0.00302901861019	-0.0109200512284	-0.0189300771442	-0.0686143303632	0.00311790720136	-0.0445962750671
bHLH_Average_139	0.00357448216091	-0.0558230810328	-0.0650465964426	0.00418986571873	-0.0491604996787	-0.0508153412487	0.0915656780428	0.0321621655914	0.010832501303	0.053563234903
bHLH_Average_115	-0.0614099143991	0.0319262541176	0.0299631928664	-0.012837461685	0.00141895761416	0.0139608014714	-0.0873082705828	-0.0124839550738	0.0294236744101	0.0167595969975
bHLH_Average_117	0.0770611810672	0.0955415121064	0.0292599189535	-0.0606228180232	-0.00324025443308	0.0499152777566	-0.113308426896	0.0120697664278	-0.0342206249782	-0.0419559689566
bHLH_M5969_1.01	-0.0805598595707	-0.042848762405	-0.0283904103211	0.0106212995209	-0.0305182220648	-0.0352114072063	0.061637201144	0.127720320905	0.00334857583287	0.0651355156565
bHLH_M6087_1.01	0.140399563262	0.0273782718394	-0.0865208724483	0.112488800433	-0.0834804541875	0.00768192653947	0.0475934561976	0.00676506627142	-0.0921071331899	-7.96767943685e-05
bHLH_Average_143	-0.117144104824	-0.124189230406	-0.0939588445145	-0.101779573031	-0.0903981314599	0.108169168543	-0.0601575952794	-0.0280085483715	0.476023735639	-0.0340343148961
bHLH_T-box_M5447_1.01	-0.247853100628	-0.123032556371	-0.0745149971983	-0.110603913999	-0.105195565785	0.00377302976782	0.0776276792319	0.0499633885603	-0.0479617888916	0.408830234023
bHLH_T-box_M5448_1.01	-0.0119347838253	-0.0102602973465	-0.0232740826842	-0.00193982617414	0.0623019898699	-0.025527641915	-0.000149415906587	0.0035095810155	0.00871054600484	0.155459042176
bHLH_T-box_M5449_1.01	-0.0329028672979	0.000108016997343	0.0387123825037	-0.00633406881685	0.00352902687664	-0.0064873788825	0.0100113023926	-0.0712076794593	-0.00175635779303	0.0948268238632
bZIP_M3883_1.01	-0.0483958438704	0.0021583474908	0.132060463845	0.0495141217563	0.0436685384314	-0.139318833249	0.00076617164648	-0.0020529797558	-0.0700774984161	-0.00915859455451
bZIP_M3882_1.01	0.0668693957955	0.0268815767075	-0.0575869989198	-0.0672718833859	-0.00234627026978	0.00446392792059	0.0142498644213	0.0249458844529	-0.0423748769773	0.0129360740379
bZIP_Average_149	0.00405317034768	0.0406953382165	0.00782630518397	-0.151111060133	0.00678247221868	-0.0579622318222	0.192731015277	-0.0707233335187	-0.079317835116	0.0600242199455
bZIP_Average_67	-0.0915073628654	0.287105495749	0.569441741575	-0.245078110885	0.393577472551	-0.197669436389	-0.138381879678	-0.109020586976	-0.175514172478	-0.282433194048
bZIP_Average_146	-0.0261466649288	0.00700299034703	0.0277361319026	-0.0249823651434	0.118199540022	-0.00289316623238	-0.025204615048	-0.0510458819914	-0.0150106391751	0.00332460054807
bZIP_Average_117	0.000417200290292	0.0294723178291	-0.0252083165328	-0.0297163502224	-0.0191803389059	-0.00416969955019	-0.0174186997514	0.0353967879733	-0.00321590800572	0.0460471638817
bZIP_M4371_1.01	-0.0230348646687	-0.0567434144373	-0.024154814852	-0.0181395301983	-0.0502137406808	-0.018169519227	0.0223218549389	0.000714857665092	0.00571845938357	-0.000488953239024
bZIP_M6050_1.01	-0.00402370746923	0.017471202542	0.0462094868697	0.0454240721299	0.00664843812234	-0.0960303810366	-0.0185415967396	0.0755286420285	0.00328272367111	4.8093232198e-05
bZIP_Average_154	0.112539495433	-0.0125495081063	0.00269705683883	-0.000549142306298	0.14360150655	-0.0211177060449	-0.0645082063556	-0.0213994255905	0.0188759177828	-0.0327805270616
bZIP_M6149_1.01	-0.00630434283906	0.037244200794	0.117499428171	-0.0295383816459	-0.107481211603	-0.106288779129	0.0115529142768	0.0259795367524	-0.00188439387668	0.000172814857714
bZIP_Average_148	0.0349747831305	0.0642487608906	0.0809040593137	-0.00451772635798	0.299938855462	0.0346050512264	-0.170369543653	-0.191786798325	-0.12859998264	-0.146444166982
bZIP_Average_145	-0.00354965178468	0.181752891743	0.246696885933	-0.183972577701	0.12177200333	-0.0202746264564	-0.157469359539	-0.255723651862	0.00476233126885	-0.0454651674863
