# maelstrom - GimmeMotifs version 0.10.0b4
# method: mwu with motif score
# motif table: mm10.most_variable.out/motif.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	MPP	CMP	GMP	MEP	Monocytes	Erythroblast	CD4	CD8	Bcell	Nkcell
C2H2_ZF_M5798_1.01	0.593817504732	1.62216540684	0.288259293527	0.00312750313564	1.16263048663	4.87283549575e-05	0.000177468408425	0.723850302382	0.0288895008687	9.10071523045
C2H2_ZF_M5789_1.01	0.00759009775031	7.53250414666	4.30418290105	2.33895228444e-05	3.89614517289	0.000119537760357	0.0106511897076	0.398533136977	0.391200251071	0.00881109456517
C2H2_ZF_Average_185	0.357022115602	16.4371920248	4.21055062862	0.065274400913	0.742583068544	0.09512638398	1.69141699381e-05	0.294756227205	0.00200155210017	4.72381024436e-07
C2H2_ZF_Average_181	0.0955844067675	21.1507410178	13.3529251515	0.0132926186731	0.868676611256	0.22097684652	0.33030461327	0.0142369074341	0.0207859754496	-0.0
C2H2_ZF_M6093_1.01	2.51279228989	0.324580403025	0.00761632725228	0.921165491783	0.963571270237	0.000512026070939	0.000346957453636	0.921654707805	0.000467524817883	6.51079831236
C2H2_ZF_M6364_1.01	2.51097048573	1.41205446392	4.64762385525	0.015492534273	6.26788688576	0.000823715556538	2.14511765568e-05	0.157586893743	0.000164575848036	0.077380088418
C2H2_ZF_M0402_1.01	4.6175112326	0.158501868273	0.0372256466024	1.11626845521	6.1904129957e-05	0.000114628981589	2.5099728945	1.17426065587	3.65597895454	4.63483076848e-06
C2H2_ZF_M0360_1.01	0.163236247351	4.02885590944	5.17581020615	0.00371836633463	0.174649939951	9.7945359152e-05	2.62678849986	0.199372444186	7.12944677	-0.0
C2H2_ZF_Average_202	1.78782209043	3.90137026447	0.140504229939	0.346066267142	0.1677613562	0.0216130056989	1.62400853248	0.014483512914	3.58907380176	2.03318803049e-12
C2H2_ZF_Average_184	1.91921870812	9.32851818055e-12	0.240345725114	0.878225662919	0.0153292057386	0.673669443921	2.23299873342	0.87410938063	2.92553047129	0.00546168523117
C2H2_ZF_M0367_1.01	0.0497082114597	0.767196754242	0.781483957129	4.3872801558e-09	5.99890971788	1.7797683208e-09	0.548017020316	0.0023235331423	3.28072201855	5.75340192124
C2H2_ZF_M1820_1.01	0.013559920504	7.39123686537	0.104164697579	0.000535846685611	0.258470609399	2.60672427563e-05	8.44884923461e-07	8.31740569821	1.70081267926e-07	15.6439912166
C2H2_ZF_Average_156	4.04497389913	1.52506920423e-07	0.112467217997	1.21262542683	1.05144377805	0.000726871621809	1.34989414494	0.105974526339	0.00267672421482	3.78421939369
C2H2_ZF_M0376_1.01	1.47977620327	6.44893993258e-13	1.93406286561	0.00597748867082	0.743473928988	1.48262864997	0.406818161201	0.349566905333	0.0258238591443	3.62377971898
