# maelstrom - GimmeMotifs version 0.10.0b4
# method: rf with motif score
# motif table: mm10.most_variable.out/motif.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	Bcell	CD4	CD8	CMP	Erythroblast	GMP	MEP	MPP	Monocytes	Nkcell
bHLH_Average_145	0.00254969129933	0.00158312698603	0.00114258059361	0.00163133682498	0.00130999543972	0.00174004491815	0.00120439168404	0.00295636874854	0.00122262049097	0.00181579348371
bHLH_Average_140	0.00154161232324	0.0010609152514	0.00181970598943	0.00168936356621	0.00206545768111	0.00173327112528	0.00212249855925	0.0029726358014	0.0014101769545	0.00150045851336
bHLH_M0210_1.01	0.00196237253043	0.00148109536865	0.00217725614954	0.00171214079397	0.00156368392795	0.00114004213278	0.00161871240645	0.0012953903309	0.0018860028981	0.00177925886378
bHLH_M6165_1.01	0.0019528317592	0.00231010806727	0.00131918096978	0.00171910614774	0.00130574435734	0.00167530805593	0.00137938819605	0.00204781580221	0.00198192823275	0.00144797421269
bHLH_M6031_1.01	0.00163654493241	0.00166655860566	0.00210540834927	0.00150135585895	0.0123388235522	0.00165668015285	0.00132571845883	0.00103990780525	0.00148464841502	0.00153733265425
bHLH_M0187_1.01	0.00146321009794	0.00144958868008	0.00169039093597	0.00199322343909	0.00167370356295	0.00183838077784	0.00131880467398	0.00114406733953	0.00174661505222	0.0016269875079
bHLH_M2787_1.01	0.00196817266339	0.00208666818214	0.00187068116814	0.00138302390891	0.00174361841148	0.0016064134498	0.00133516141945	0.00131568891977	0.00166597670102	0.0019467547257
bHLH_Average_139	0.00173105096269	0.00259499700999	0.00150841476765	0.00152887334474	0.00123929986748	0.00144969278733	0.00122277446511	0.000869452271548	0.00194237702585	0.00223490074906
bHLH_Average_115	0.00166783470665	0.00229402787031	0.0018230254848	0.00159176250337	0.00133045835537	0.00157140251148	0.00148169650096	0.00146549670935	0.0018895553451	0.00296525324425
bHLH_Average_117	0.00172636541241	0.00162495699708	0.00131772007187	0.00229048537127	0.00171353978631	0.00194175095062	0.000970107018055	0.00132724723361	0.00189065649518	0.00185153520572
bHLH_M5969_1.01	0.00283162752793	0.0028047442076	0.00177600916758	0.00167891695256	0.00230207813251	0.000958147801665	0.000866683713253	0.00103433611539	0.00150129026954	0.00124963817979
bHLH_M6087_1.01	0.00145330773909	0.00258815743016	0.0016224669253	0.00198927318874	0.00213790689077	0.00156640340262	0.00204871982533	0.00166625293134	0.00183308616006	0.00154492956052
bHLH_Average_143	0.016829182199	0.00128450325683	0.00120606130141	0.00147923086951	0.00160992522968	0.00203080070055	0.00118745995438	0.000991895085931	0.00119077125426	0.00145749318149
bHLH_T-box_M5447_1.01	0.000878026350527	0.00150611699421	0.00134826207618	0.00210939674751	0.00112391582367	0.00208556115228	0.00132522387133	0.00103696642107	0.000868503250072	0.0223462202927
bHLH_T-box_M5448_1.01	0.00168030623033	0.00138254785543	0.00249753833086	0.00172114285785	0.00112513723152	0.00130829983826	0.00109521174953	0.00130972107153	0.00140093201931	0.00521458994604
