# maelstrom - GimmeMotifs version 0.10.0b4
# method: lightning with motif score
# motif table: hg19.most_variable.out/motif.score.txt.gz
# activity values: coefficients from fitted model
	Bcell	CD4	CD8	CLP	CMP	Ery	GMP	HSC	LMPP	MEP	MPP	Mono	Nkcell
ARID_BRIGHT_M0108_1.01	-0.00392716487953	0.00131018683598	0.00215129387598	0.00110755269353	-0.000585654890907	-0.000767276779535	-0.000768345519549	0.00248759099273	-0.00314639969967	0.000649850366499	-0.000287715409887	0.00278539978856	-0.0010093173742
ARID_BRIGHT_Average_2	-0.001100210411	-0.00108040144805	-0.000534645493707	-0.000216282170281	-0.000791068143841	-0.000247208476762	0.000360188943565	0.00178372837048	0.000378185586399	0.000159972814942	0.00123231943655	0.000511033713106	-0.000455612721403
AT_hook_M6098_1.01	5.72892420685e-05	0.000132088861642	-0.000470236053061	0.000700575014296	-0.000422466972564	-0.00029763860566	-9.15015148227e-05	0.000570525378218	6.7916316506e-05	9.04362014026e-05	-7.01656979647e-05	-0.000233055208899	-3.37669611613e-05
AT_hook_M0127_1.01	-0.00082512600432	-0.00256827036864	0.00208013409728	0.000335862261191	-0.00139730266523	0.00038216281083	-0.00168925185069	0.00136028185223	0.000296032231413	0.000542624729234	0.00134001743394	-0.00105199159536	0.00119482706812
AT_hook_M0131_1.01	-0.00106024016817	-0.00109117466506	0.00100606643351	-5.24122562635e-05	-0.00269320525735	-0.00167223692591	-0.00173163814037	0.00339490933796	0.00262836798294	0.000918158509407	0.00261004748547	-0.00169245216524	-0.000564190170931
AT_hook_M0133_1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_hook_M6099_1.01	-0.000111161938158	0.00282330633921	0.000899730047524	-0.00267634779546	-0.00242042863717	-0.00112808996802	0.000813375533442	-0.000222766194254	-0.00206676413427	0.000876588943405	0.00153678980812	0.00241908633074	-0.000743318335108
AT_hook_Average_2	-0.00117473829821	-0.00058464521345	-5.70143221637e-05	0.00171625201582	-0.00018009660803	0.000341976980346	-0.000487413456639	0.00237458745614	-0.000114616184785	-0.000387049048853	-0.00064762617881	0.000347277201607	-0.00114689434297
AT_hook_M0128_1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_hook_Average_1	0.000683255062138	-0.000575731272793	-0.00316351308284	0.000875605775539	-0.000947825523645	-4.11215203279e-05	-0.000300675657486	-0.000913000575992	0.000561133061242	-0.000110915875847	0.00150044858916	0.00219665589961	0.00023568512125
bHLH_bZIP_Average_10	0.000480921845087	-0.00421014551871	-0.00129878622057	0.00129113959729	-0.0028012452944	0.00128705215187	0.00239714889093	-0.000320369459147	-0.000752139562636	-0.000257394581363	0.00286524664027	-0.0011254453565	0.00244401686787
bHLH_bZIP_M5432_1.01	0.000386487000439	-0.00534198966593	0.00288897088216	-3.43829472071e-05	-0.00105440214279	0.00114592692968	-0.00106236403139	-0.000463015136592	0.00121136042442	-0.00326159195138	-0.00177116585173	0.00203680648398	0.00531936000636
bHLH_Average_165	0.0171153808949	-0.00105859690376	-0.026470147201	0.0629926979096	0.00266280913131	0.00290183899155	-0.00185619647479	-0.0294871571022	0.0554469665559	-0.0169771296419	-0.0110383990123	-0.0227455020872	-0.0314865650601
bHLH_M2134_1.01	-0.0108233422777	0.00741697236069	-0.00556213790346	0.00833743890434	0.00149420007884	0.00291779350987	0.0021352171701	-0.00338247595828	0.0142712531525	0.00303864560913	-0.0114963417607	-0.00520153368635	-0.00314568919896
bHLH_Average_151	0.000440974772468	-0.00335779943416	-0.016708018419	0.0186673048311	0.00182188296166	0.00267184394287	0.00326990400442	-0.0108188001961	0.011215547083	-0.00173307542544	-0.001878106042	0.000928635021102	-0.00452029309993
bHLH_M6260_1.01	0.00294257535044	0.00123025446315	0.000924164868558	0.00223001572659	-0.00232552366369	-0.00214433644363	-0.000303818394247	-0.000913256849422	0.00036463022712	0.0037222242487	-0.00209333110512	-0.00318252555709	-0.000451072871355
bHLH_Average_27	-0.00108479245122	-0.000380660297423	-0.00166677573093	0.00154426591222	-0.00186479228293	0.00275561765907	-9.24663199176e-05	-0.000539746779239	0.00129663373204	-0.00131647313869	0.000862749632743	-0.000705058400731	0.00119149846499
bHLH_M5981_1.01	0.00204762096039	-0.000265301595507	-0.00233208724808	-0.000637561933513	-0.00252064894799	0.00153454696809	-0.00186624837666	0.00178945255066	-0.00041025632252	0.000381401027474	0.00204795554539	0.000646420324347	-0.000415292952085
bHLH_Average_154	-0.00201679424113	-0.00199435236351	0.00045157930403	0.000222254309602	-0.000454852826853	-0.000246494626095	0.0012051801019	-0.000444414647876	0.00345051261994	-0.000640862735783	0.00261258418579	-0.00138067285267	-0.000763666227352
bHLH_Average_164	-0.000391736950571	-0.000790548564029	-0.000107198582415	0.000717549514781	0.000290557161147	-0.00022979499221	0.000233162630881	0.000299673194043	-0.000634430842681	-0.000318664717011	0.000641508347585	4.01748072751e-06	0.000285906319753
bHLH_Average_148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
