	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
bZIP_M3882_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.98113637692	0.138481473515	-0.0	1.14500355243	-0.0	-0.0	-0.0
bZIP_Average_149	2.29584593935	3.18742754304	-0.0	-0.0	1.72934292476	-0.0	8.79489209817	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_67	-0.0	-0.0	-0.0	6.58556416798	7.61831006979	-0.0	8.4324896208	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_146	-0.0	-0.0	-0.0	0.254369578689	-0.0	-0.0	4.68133105666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_117	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.10785464112	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M4371_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.71217501544	-0.0	-0.0	-0.0	0.0392935713093	-0.0	-0.0
bZIP_M6050_1.01	-0.0	0.444422447754	-0.0	-0.0	-0.0	-0.0	2.23338189243	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_154	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M6149_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.234070266244	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_148	2.1858142846	4.7009077913	0.840856237601	0.147972400076	-0.0	-0.0	2.37487829478	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_145	-0.0	-0.0	-0.0	2.74517331492	0.472804482882	-0.0	1.5173624021	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M0309_1.01	-0.0	-0.0	-0.0	2.07080133725	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_153	-0.0	-0.0	-0.0	8.48438446948	10.0697223095	-0.0	11.6670888638	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M2910_1.01	-0.0	-0.0	-0.0	4.96083134857	2.69057010164	-0.0	4.46885932047	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_141	-0.0	-0.0	-0.0	1.79230177587	2.18342294907	-0.0	3.30397782945	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M6006_1.01	-0.0	-0.0	-0.0	-0.0	0.274653984431	-0.0	1.84609719768	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_143	-0.0	0.438848178757	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.694866777212	-0.0	-0.0	-0.0	-0.0
bZIP_Average_142	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.804926451455	0.575357724419	3.95688833643	3.13300905853	-0.0	-0.0	-0.0
bZIP_M0300_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.17936394305	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_150	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.58444965746	0.626215317229	1.24109986475	0.039602771111	-0.0	-0.0	-0.0
bZIP_M5866_1.01	-0.0	-0.0	-0.0	0.0322280818409	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_134	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.04226512897	-0.0	-0.0
bZIP_M0304_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.21925244494	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_147	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M0305_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.56386634684	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M0287_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	3.45352812908	1.110961556	0.850371332528	-0.0	-0.0	-0.0	-0.0
bZIP_Average_152	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_151	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M2901_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M6329_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M5973_1.01	-0.0	-0.0	1.82954959473	-0.0	2.60669189966	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.46174214881
bZIP_Average_17	-0.0	-0.0	0.54931167739	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.267492964348	-0.0	-0.0	-0.0
C2H2_ZF_M4354_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.3918355597	-0.0
C2H2_ZF_M5841_1.01	-0.0	0.222841163239	0.789400951091	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.486816172574
C2H2_ZF_Average_96	-0.0	-0.0	-0.0	-0.0	2.99383849617	-0.0	-0.0	-0.0	-0.0	-0.0	2.03824106846	-0.0	-0.0
C2H2_ZF_M4323_1.01	-0.0	-0.0	-0.0	-0.0	12.2090122397	-0.0	0.271510597084	-0.0	-0.0	-0.0	11.985668499	-0.0	-0.0
C2H2_ZF_Average_187	-0.0	-0.0	0.707094044731	-0.0	-0.0	-0.0	0.507569348501	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M0407_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.25423319285	2.2140576508	-0.0	3.27324987527	-0.0	-0.0
