# maelstrom - GimmeMotifs version 0.10.0b4
# method: rf with motif score
# motif table: hg19.most_variable.out/motif.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	Bcell	CD4	CD8	CLP	CMP	Ery	GMP	HSC	LMPP	MEP	MPP	Mono	Nkcell
AT_hook_M6098_1.01	0.00127089246231	0.00110605130777	0.00137129331232	0.00120235493853	0.00124483508897	0.00229895477386	0.000714833616331	0.00128313361962	0.00107913002167	0.0010091440239	0.00115484368024	0.0013984013552	0.000726911563193
AT_hook_M0127_1.01	0.000933245967461	0.000832650628679	0.000664681917348	0.000809543265037	0.000715450205477	0.00337725678492	0.000666242491013	0.00103876082067	0.000646721391069	0.000583530394305	0.000798837466339	0.00169149602331	0.000760265327451
AT_hook_M0131_1.01	0.00125889059536	0.00140160837795	0.000835505448169	0.00120708502485	0.00119343906748	0.00299490936668	0.00119678331048	0.00210496909216	0.000908137636051	0.00119527059418	0.00141852860574	0.00325764864508	0.000734119916912
AT_hook_M0133_1.01	0.00126489817873	0.00105891443309	0.00127433114562	0.00140688745601	0.00195925579632	0.0017982770701	0.000735363674452	0.00419876374164	0.00113197530433	0.00124965176783	0.00117166343013	0.00185882876426	0.00134306658732
AT_hook_M6099_1.01	0.00108201768566	0.00177245837521	0.00148614368587	0.00140826825831	0.00138053935175	0.00171256006579	0.00188016657068	0.00139574930002	0.001288039518	0.00142960416394	0.00184694950189	0.00162473957828	0.00144529882572
AT_hook_Average_2	0.000240556447631	0.000235358359459	0.000490014081847	0.00017608082443	0.000250684955321	0.00161343495123	0.000311751089336	0.000754154284898	0.000327601759109	0.000415733339524	0.000276673794886	0.00038025514861	0.000314823440795
AT_hook_M0128_1.01	0.000627742174323	0.000849673818459	0.00150997122866	0.00134944506365	0.00145104709291	0.00177129676507	0.00101722977831	0.00304773327105	0.00109876084062	0.00120037567386	0.00127163197861	0.00283885653313	0.000978753083528
AT_hook_Average_1	1.43452164271e-05	2.37900476924e-05	0.000201576577404	1.38321525128e-05	1.41111852137e-05	0.000170370186798	3.81296346571e-05	4.2892379663e-05	1.33624896749e-05	0.000121553641568	0.0	6.91127642794e-05	1.27057270532e-05
bHLH_bZIP_Average_10	0.00163676279561	0.00186459645047	0.00151178179385	0.0012369736295	0.00146392534022	0.00105657528498	0.000957840525877	0.00117719726739	0.00169618810759	0.00136985268005	0.000863032568694	0.0012524601552	0.0018845042752
bHLH_bZIP_M5432_1.01	0.00159447098262	0.0014285871734	0.00204174034872	0.00155407768579	0.00145007721157	0.00102028549018	0.00228181741524	0.00166679658033	0.00153059584963	0.00162334075245	0.00177903864105	0.00159822812659	0.00182048806099
bHLH_Average_165	0.00160718347689	0.00134325488124	0.000778340406168	0.0070555582435	0.0014416011314	0.000723926652943	0.00115881320578	0.00129590985237	0.00641629100941	0.00119181414365	0.00191058843168	0.00212046593794	0.0014009818032
bHLH_M2134_1.01	0.00170777076546	0.00127648178692	0.00135783948137	0.00328164503855	0.000931577540412	0.00150323018587	0.00118872661255	0.000874354957808	0.0023414571783	0.00109503859751	0.00110572882576	0.00105102488865	0.00076025660736
bHLH_Average_151	0.00157119796708	0.00118529795609	0.00197564575567	0.00413663851894	0.00114025504849	0.00102954415381	0.00167046377708	0.00152993059271	0.00414495409099	0.0021143408429	0.00181328051374	0.00222130520128	0.0020248519143
