# maelstrom - GimmeMotifs version 0.10.0b4
# method: mara with motif count
# motif table: hg19.most_variable.out/motif.count.txt.gz
# activity values: mean coefficient from fitted model
	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
AT_hook_Average_2	0.005501088552	0.00647631230515	0.0102006329484	-0.00291972312909	0.00364155908105	-0.0197131701391	-0.00722455554356	-0.00632523132824	-0.00476756886179	0.000338907373903	-0.00151976702835	0.00467501475924	0.0287970558466
AT_hook_M0128_1.01	0.156056367391	-0.0134982524015	-0.0185231699121	-0.0490819757136	-0.0375383249375	-0.0983077276715	-0.115579806443	-0.0079243062722	0.0757763260252	0.176732268472	0.0426740205289	0.0728266952161	-0.0726927027183
AT_hook_Average_1	0.020335117309	0.00146262967923	0.00887181248375	0.00361008285748	-0.00268889808772	-0.012643185321	0.00402715775356	-0.0017173415752	-0.00010016175905	0.00141779600471	0.011236459395	-0.0095177696195	-0.0762271403298
bHLH_bZIP_Average_10	0.0267124770461	0.00607098284653	0.0114630030532	-0.053101014715	0.0439455651596	-0.00751507260114	-0.0162483226275	-0.157579608944	0.0119187892674	0.151836760837	-0.0239260437005	-0.0196639349433	-0.0982352906574
bHLH_bZIP_M5432_1.01	-0.00140669208892	0.0320310049913	-0.00710644683551	0.0282275371728	0.0027856276932	-0.0198278600353	-0.0360691571832	-0.000848327484665	-0.0131166597854	0.00319526468625	0.0981265217735	0.0520483847067	-0.0749799811847
bHLH_Average_165	0.198259747619	-0.00452756285149	0.099521090807	0.0191332072834	0.00378759968349	0.0637025052048	0.0466747156191	-0.0789817692302	-0.0396763544654	0.114722238091	-0.0357824078278	-0.235785103705	-0.476391837674
bHLH_M2134_1.01	0.000360037329131	0.0189067667844	0.0623347414555	-0.118151684117	0.105892414647	-0.0690721652345	-0.180533455516	-0.0866990221899	-0.134797071647	-0.130825876455	0.0196313705963	0.206552744957	0.139530963613
bHLH_Average_151	-0.012997662038	-0.0367324458376	0.0630089587749	0.00165549591684	0.00787023250693	-0.0170459114426	0.0198182995018	-0.0755732453753	-0.108519942109	-0.0167767955571	-0.0196685314162	0.147076572141	-0.0621621294991
bHLH_M6260_1.01	-0.095126580839	-0.03948429084	0.0106590456397	0.000596331391319	0.0492532261937	0.0614883038621	0.0788751529836	-0.0292383472003	-0.0731847687363	0.0296510110151	-0.0163810156866	0.163796417173	0.0844960617121
bHLH_Average_27	-0.0224862509484	-0.0220727709924	-0.116013214768	-0.0106599898644	-0.00097700891322	0.00596947603213	0.227515385826	-0.0151794560037	0.0119628958527	-0.0583007480799	0.00593568281488	0.0187674327285	0.0625293582865
bHLH_M5981_1.01	0.110268016118	0.118704434728	0.0809989801927	0.0349452255688	0.0530064219687	-0.0215978666999	0.0896454788016	-0.0410070119562	-0.104728521497	-0.0677315036799	0.0265047828944	-0.02143210109	0.0116718241217
bHLH_Average_154	0.0418911965806	0.0572098320434	0.098828414295	0.0142241373237	-0.0157900332344	-0.0479443096904	-0.000296010576655	0.0222285442283	-0.0208158939343	0.0664462229281	-0.185218170914	0.0276220658683	-0.0448596742624
bHLH_Average_164	-0.05459308981	0.0214838448671	-0.039654370626	0.197807359349	-0.012080039089	-0.157415142656	0.102374519809	-0.031518005576	-0.104191751509	0.0125580748453	-0.0382528867843	0.0363109719175	-0.0809950809419
bHLH_Average_148	0.00428104522411	0.00710509295444	-0.0362280808285	-0.0347264107891	-0.00543531024527	0.00369717292488	0.0019932836109	0.0320903886973	-0.0088871889364	-0.0586631376322	0.0272639558014	-0.171825034254	0.15451654731
